MaxInitGenSize;pathCost;counter
2;3748;3
3;611;3
4;170;7
5;170;9
6;170;11
7;170;12
8;170;10
9;170;12
10;170;17
11;170;15
12;170;13
13;170;24
14;170;14
15;170;21
16;170;24
17;170;27
18;170;24
19;170;27
20;170;23
21;170;29
22;170;25
23;170;25
24;170;35
25;530;40
26;170;24
27;170;34
28;170;38
29;170;31
30;170;41
31;170;30
32;170;46
33;170;42
34;170;72
35;170;38
36;170;41
37;170;45
38;170;51
39;170;48
40;170;51
41;170;44
42;170;65
43;170;43
44;170;55
45;170;65
46;170;55
47;170;56
48;170;65
49;170;52
50;170;64
51;170;70
52;170;75
53;170;73
54;170;71
55;170;70
56;170;72
57;170;83
58;170;89
59;170;96
60;170;72
61;170;104
62;170;80
63;170;77
64;170;88
65;170;91
66;170;115
67;170;100
68;170;95
69;170;112
70;170;104
71;170;101
72;170;103
73;170;91
74;170;115
75;170;111
76;170;106
77;170;98
78;170;108
79;170;126
80;170;111
81;170;110
82;170;104
83;170;110
84;170;117
85;170;124
86;170;119
87;170;122
88;170;111
89;170;117
90;170;136
91;170;116
92;170;133
93;170;113
94;170;125
95;170;132
96;170;129
97;170;138
98;170;131
99;170;149
100;170;152
101;170;145
