MaxMutationAddedGenes;pathCost;counter
0;170;82
1;428;85
2;170;70
3;170;57
4;170;55
5;170;66
6;170;77
7;170;64
8;170;69
9;170;86
10;170;72
11;170;68
12;170;71
13;170;81
14;170;67
15;170;61
16;170;69
17;170;67
18;170;94
19;170;68
20;170;63
21;170;68
22;170;68
23;968;97
24;170;62
25;170;65
26;170;64
27;170;61
28;170;58
29;170;74
30;170;68
31;170;60
32;170;60
33;170;64
34;381;66
35;170;64
36;170;59
37;170;81
38;170;63
39;335;74
40;170;69
41;170;68
42;170;73
43;170;65
44;170;71
45;170;64
46;346;75
47;170;59
48;170;80
49;170;66
50;170;65
51;284;106
52;170;60
53;170;81
54;170;63
55;170;76
56;170;73
57;170;59
58;170;70
59;170;57
60;170;55
61;170;75
62;170;73
63;170;80
64;170;54
65;170;73
66;170;65
67;541;94
68;170;69
69;170;65
70;170;59
71;170;67
72;170;71
73;170;69
74;170;71
75;170;63
76;170;53
77;170;74
78;406;85
79;170;64
80;170;75
81;387;67
82;170;61
83;170;66
84;170;64
85;170;76
86;170;79
87;346;84
88;170;75
89;170;71
90;170;67
91;170;55
92;170;60
93;170;72
94;170;56
95;170;67
96;170;76
97;170;69
98;170;69
99;170;59
