Youtuber,subscribers,video views,video count,category,started,username,Youtube Url,Audience Country,Avg. Likes,Avg. Comments,ID
T-Series,222000000,198459090822,17317,Music,2006,tseries,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,India,1700.0,108.0,UCq-Fj5jknLsUf-MWSy4_brA
PewDiePie,111000000,28469458228,4497,Gaming,2010,PewDiePie,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,United States,244000.0,11400.0,UC-lHJZR3Gqxm24_Vd_AJ5Yw
MrBeast,102000000,16832456681,726,Entertainment,2012,MrBeast6000,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,United States,2100000.0,78500.0,UCX6OQ3DkcsbYNE6H8uQQuVA
WWE,90200000,70544743313,63077,Sports,2007,WWEFanNation,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg,United States,6600.0,307.0,UCJ5v_MCY6GNUBTO8-D3XoAg
Zee Music Company,86700000,49067711243,6603,Music,2014,zeemusiccompany,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,India,4900.0,166.0,UCFFbwnve3yF62-tVXkTyHqg
BANGTANTV,70000000,17471090750,1787,Music,2012,BANGTANTV,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,India,766300.0,8400.0,UCLkAepWjdylmXSltofFvsYQ
Canal KondZilla,65900000,36576704790,2313,Music,2012,CanalKondZilla,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw,Brazil,2300.0,105.0,UCffDXn7ycAzwL2LDlbyWOTw
Shemaroo Filmi Gaane,61300000,28579945247,7884,Music,2010,filmigaane,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg,India,446.0,19.0,UCP6uH_XlsxrXwZQ4DlqbqPg
Dude Perfect,58100000,14742860905,297,Sports,2009,corycotton,http://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,United States,316200.0,11800.0,UCRijo3ddMTht_IHyNSNXpNQ
Movieclips,57600000,58839819120,39202,Film & Animation,2006,movieclips,http://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,United States,197.0,7.0,UC3gNmTGu-TTbFPpfSs5kNkg
Marshmello,55700000,13445424556,401,Entertainment,2015,Marshmello,http://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,United States,13600.0,310.0,UCEdvpU2pFRCVqU6yIPyTpMQ
EminemMusic,53000000,23717869724,140,Music,2007,EminemMusic,http://youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw,United States,928100.0,49200.0,UCfM3zsQsOnfWNUppiycmBuw
Aaj Tak,52900000,20204939173,196497,News & Politics,2009,aajtaktv,http://youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA,India,138.0,16.0,UCt4t-jeY85JegMlZ-E5UWtA
Tips Official,52800000,27883080973,3612,Music,2007,tipsmusic,http://youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w,India,2300.0,62.0,UCJrDMFOdv1I2k8n9oK_V21w
T-Series Bhakti Sagar,52500000,24278576197,23870,Music,2011,tseriesbhakti,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g,India,555.0,40.0,UCaayLD9i5x4MmIoVZxXSv_g
Sony Music India,52400000,24856641898,3180,Music,2009,sonymusicindiaSME,http://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,India,3400.0,121.0,UC56gTxNs4f9xZ7Pa2i5xNzg
YRF,47600000,29366788406,3289,Film & Animation,2006,yrf,http://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA,India,12800.0,251.0,UCbTLwN10NoCU4WDzLf1JMOA
JuegaGerman,46100000,13698034536,1959,Gaming,2013,JuegaGerman,http://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg,Mexico,150800.0,3200.0,UCYiGq8XF7YQD00x7wAd62Zg
BRIGHT SIDE,43900000,10058536263,4540,Howto & Style,2017,BRIGHT SIDE,http://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,United States,1400.0,107.0,UC4rlAVgAK0SGk-yTfe48Qpw
whinderssonnunes,43900000,4120078906,521,Comedy,2013,whinderssonnunes,http://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw,Brazil,798800.0,26100.0,UC3KQ5GWANYF8lChqjZpXsQw
SonyMusicIndiaVEVO,42700000,23991411417,3309,Music,2009,sonymusicindiaVEVO,http://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ,India,481.0,39.0,UC3MLnJtqc_phABBriLRhtgQ
Bad Bunny,42500000,23748805401,123,Music,2014,Bad Bunny,http://youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q,Mexico,1800000.0,43500.0,UCmBA_wu8xGg1OfOkfW13Q0Q
Alan Walker,42200000,11731228995,318,Music,2012,DjWalkzz,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,United States,28200.0,1700.0,UCJrOtniJ0-NWz37R30urifQ
Speed Records,40800000,24558172214,10327,Music,2012,speedrecordss,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew,India,1400.0,65.0,UCOsyDsO5tIt-VZ1iwjdQmew
GR6 EXPLODE,37600000,23912270526,4180,Music,2014,gr6explode,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA,Brazil,4700.0,123.0,UCNUQK9mQoqi4yNXw2_Rj6SA
Kimberly Loaiza,37200000,4254148920,206,People & Blogs,2016,Kimberly Loaiza,http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ,Mexico,489100.0,38500.0,UCQZfFRohQ7UX-0CdXl-6pwQ
Mikecrack,33500000,13775632479,1727,Gaming,2015,Mikecrack,http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ,Mexico,297000.0,3000.0,UCqJ5zFEED1hWs0KNQCQuYdQ
VEGETTA777,33400000,14948682643,7130,Gaming,2008,vegetta777,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,Mexico,25900.0,257.0,UCam8T03EOFBsNdR0thrFHdQ
Markiplier,33300000,18701808550,5200,Gaming,2012,markiplierGAME,http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,United States,167500.0,6900.0,UC7_YxT-KID8kRbqZo7MyscQ
ABP NEWS,33200000,10421462788,224455,People & Blogs,2012,abpnewstv,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA,India,45.0,4.0,UCRWFSbif-RFENbBrSiez1DA
Geet MP3,32800000,11575367431,563,Music,2016,Geet MP3,http://youtube.com/channel/UClZF7OsrECe3t_ADrjZEh_Q,India,26600.0,686.0,UClZF7OsrECe3t_ADrjZEh_Q
NoCopyrightSounds,32700000,10436881173,1116,Music,2011,NoCopyrightSounds,http://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,United States,14600.0,1100.0,UC_aEa8K-EOJ3D6gOs7HcyNg
SSSniperWolf,32500000,20583922757,3095,Gaming,2013,SSSniperWolf,http://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ,United States,114400.0,6600.0,UCpB959t8iPrxQWj7G6n0ctQ
T-Series Apna Punjab,32300000,18933492606,6524,Music,2011,tseriesapnapunjab,http://youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g,India,906.0,52.0,UCcvNYxWXR_5TjVK7cSCdW-g
IndiaTV,31900000,13417041251,237971,News & Politics,2006,IndiaTV,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ,India,191.0,23.0,UCttspZesZIDEwwpVIgoZtWQ
GENIAL,31400000,6362416164,5453,Howto & Style,2017,GENIAL,http://youtube.com/channel/UCbrd1vu4_7qIE6IPV_dA-OA,Mexico,1700.0,54.0,UCbrd1vu4_7qIE6IPV_dA-OA
SMTOWN,30800000,25203004950,3951,Music,2006,SMTOWN,http://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g,United States,38400.0,930.0,UCEf_Bc-KVd7onSeifS3py9g
Bollywood Classics,30600000,19244430138,2008,Music,2012,tseriesoldisgold,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w,India,534.0,22.0,UCRm96I5kmb_iGFofE5N691w
Ricis Official,30500000,5134450983,2003,People & Blogs,2016,Ricis Official,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,Indonesia,31200.0,1000.0,UC4tS4Q_Cno5JVcIUXxQOOpA
Trap Nation,30400000,13348694779,2472,Music,2012,AllTrapNation,http://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg,United States,2400.0,100.0,UCa10nxShhzNrCE1o2ZOPztg
