username,Youtube Url,Name,Category,Audience Country,Subscribers,Avg. Views,Avg. Likes,Avg. Comments
tseries,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Music & Dance,India,220100000,52700,1700.0,108.0
PewDiePie,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,Animation,United States,111400000,3600000,244000.0,11400.0
MrBeast6000,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Video gamesHumor,United States,98400000,36700000,2100000.0,78500.0
WWEFanNation,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Video games,United States,89400000,202300,6600.0,307.0
zeemusiccompany,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,Music & Dance,India,85700000,120700,4900.0,166.0
kidrauhl,http://youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,Music & Dance,United States,69500000,632600,41300.0,3100.0
sabtv,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,MoviesAnimation,India,69400000,32200,589.0,17.0
BANGTANTV,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,Music & Dance,India,69300000,4800000,766300.0,8400.0
ibighit,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,Music & Dance,United States,67500000,492400,105900.0,1700.0
CanalKondZilla,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,Music & Dance,Brazil,65900000,40900,2300.0,105.0
filmigaane,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,Music & Dance,India,60800000,31500,446.0,19.0
corycotton,http://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,Video games,United States,57900000,8500000,316200.0,11800.0
movieclips,http://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,MoviesAnimation,United States,57400000,18900,197.0,7.0
Marshmello,http://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,Music & Dance,United States,55600000,158800,13600.0,310.0
EminemMusic,http://youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw,EminemMusic,MoviesAnimation,United States,52700000,15700000,928100.0,49200.0
aajtaktv,http://youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,News & Politics,India,52300000,9700,138.0,16.0
tipsmusic,http://youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,Music & Dance,India,52100000,234500,2300.0,62.0
sonymusicindiaSME,http://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,Music & Dance,India,51700000,118500,3400.0,121.0
tseriesbhakti,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g,T-Series Bhakti Sagar,Music & Dance,India,51500000,20000,555.0,40.0
LooLooKids,http://youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,Music & Dance,United States,49500000,265600,1500.0,
yrf,http://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA,YRF,Music & DanceMovies,India,47100000,250700,12800.0,251.0
taylorswift,http://youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,Music & Dance,United States,46900000,1800000,162700.0,7400.0
JuegaGerman,http://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,MoviesAnimation,Mexico,46000000,1700000,150800.0,3200.0
whinderssonnunes,http://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw,whinderssonnunes,Music & DanceAnimation,Brazil,43800000,3400000,798800.0,26100.0
BRIGHT SIDE,http://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,Animation,United States,43800000,56700,1400.0,107.0
sonymusicindiaVEVO,http://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ,SonyMusicIndiaVEVO,Music & Dance,India,42400000,32100,481.0,39.0
DjWalkzz,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,Alan Walker,Music & DanceMovies,United States,42100000,461800,28200.0,1700.0
Bad Bunny,http://youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,Music & DanceMovies,Mexico,41800000,100500000,1800000.0,43500.0
A4,http://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA,A4,AnimationHumor,Russia,40700000,9400000,443900.0,22900.0
speedrecordss,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,Music & Dance,India,40600000,33100,1400.0,65.0
venus,http://youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music,Music & Dance,India,37600000,21800,329.0,15.0
luccasneto,http://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA,LUCCAS NETO - LUCCAS TOON,MoviesAnimation,Brazil,37600000,416300,11800.0,
gr6explode,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,Music & Dance,Brazil,37600000,76700,4700.0,123.0
XXXTENTACION,http://youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION,Music & Dance,United States,37500000,463400,48900.0,2600.0
Kimberly Loaiza,http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,Daily vlogs,Mexico,37000000,7900000,489100.0,38500.0
shfa,http://youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg,shfa,Daily vlogs,France,35700000,3100000,53800.0,
Goldmines Gaane Sune Ansune,http://youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune,Music & Dance,India,33900000,32800,309.0,16.0
JbalvinTube,http://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg,J Balvin,Music & Dance,Colombia,33500000,2600000,68800.0,2900.0
vegetta777,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,Video games,Mexico,33200000,303700,25900.0,257.0
markiplierGAME,http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,AnimationVideo games,United States,33100000,3200000,167500.0,6900.0
abpnewstv,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,News & Politics,India,32900000,4000,45.0,4.0
Geet MP3,http://youtube.com/channel/UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3,Music & Dance,India,32700000,713300,26600.0,686.0
NoCopyrightSounds,http://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,Music & Dance,United States,32500000,372400,14600.0,1100.0
Mikecrack,http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ,Mikecrack,MoviesAnimation,Mexico,32299999,3900000,297000.0,3000.0
SSSniperWolf,http://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,Humor,United States,32100000,4400000,114400.0,6600.0
tseriesapnapunjab,http://youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,Music & Dance,India,32100000,24800,906.0,52.0
IndiaTV,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ,IndiaTV,News & Politics,India,31700000,11500,191.0,23.0
GENIAL,http://youtube.com/channel/UCbrd1vu4_7qIE6IPV_dA-OA,GENIAL,Animation,Mexico,31300000,47900,1700.0,54.0
SMTOWN,http://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,Music & Dance,United States,30700000,312900,38400.0,930.0
AllTrapNation,http://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,Music & Dance,United States,30500000,89300,2400.0,100.0
Ricis Official,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,Ricis Official,Music & DanceMovies,Indonesia,30300000,542600,31200.0,1000.0
tseriesoldisgold,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w,Bollywood Classics,Music & Dance,India,30300000,29600,534.0,22.0
AH,http://youtube.com/channel/UCaKLg1ELiX0zTJ6Je3c5esA,AH,Music & DanceMovies,Indonesia,29900000,736200,36600.0,2400.0
latenight,http://youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,MoviesHumor,United States,29700000,154900,4100.0,187.0
DisneyMusicVEVO,http://youtube.com/channel/UCgwv23FVv3lqh567yagXfNg,DisneyMusicVEVO,Music & DanceMovies,United States,29700000,34100,661.0,30.0
SpinninRec,http://youtube.com/channel/UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,Music & Dance,United States,29700000,56500,2100.0,70.0
rezendeevil,http://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg,rezendeevil,MoviesHumor,Brazil,29700000,304300,32299.0,604.0
SongsOfIndianCinema,http://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,Music & Dance,India,29300000,30500,814.0,43.0
xoxxxoooxo,http://youtube.com/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd,Music & Dance,United States,28700000,465000,42600.0,1900.0
jacksepticeye,http://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,Video games,United States,28500000,1800000,117400.0,4800.0
UltraRecords,http://youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA,Ultra Music,Music & Dance,United States,28500000,21100,821.0,38.0
ImagineDragons,http://youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA,ImagineDragons,Music & Dance,United States,28300000,311800,19200.0,384.0
WWRBhojpuri,http://youtube.com/channel/UCbomPUMyPHCgrqD5iYnzj1A,Worldwide Records Bhojpuri,Music & Dance,India,28200000,55100,1500.0,102.0
TheLateLateShow,http://youtube.com/channel/UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,AnimationHumor,United States,27900000,88600,2000.0,116.0
MrBeast Gaming,http://youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,AnimationVideo games,United States,27900000,7300000,320600.0,16500.0
PowerKids,http://youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw,PowerKids,MoviesAnimation,India,27500000,184600,,
Karolgmusic,http://youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw,KAROL G,Music & Dance,Colombia,27200000,129400,12400.0,310.0
DrakeOfficial,http://youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ,Drake,Music & Dance,United States,26700000,1900000,33700.0,2200.0
zeenews,http://youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ,Zee News,News & Politics,India,26400000,24900,537.0,38.0
taylorgangent,http://youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,Music & Dance,United States,26400000,184400,14600.0,835.0
TheDiamondMinecart,http://youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,Video games,United States,26200000,1300000,63300.0,5000.0
AboFlah,http://youtube.com/channel/UCqq5n-Oe-r1EEHI3yvhVJcA,AboFlah,AnimationVideo games,Iraq,26000000,4300000,623800.0,25200.0
WorldStarHipHopTV,http://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,Music & Dance,United States,26000000,51500,1700.0,176.0
adityamusic,http://youtube.com/channel/UCNApqoVYJbYSrni4YsbXzyQ,Aditya Music,Music & Dance,India,25800000,36200,1200.0,23.0
VanossGaming,http://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,AnimationVideo games,United States,25800000,1400000,59000.0,594.0
LosPolinesios,http://youtube.com/channel/UCs8qka8tfhdc69wzXYdtZ3A,LosPolinesios,Music & DanceMovies,Mexico,25600000,1600000,66500.0,3300.0
xSkyHeLLxx,http://youtube.com/channel/UChMJkHCD2wdvSO7CMOuLR-w,Renato Garcia,MoviesAnimation,Brazil,25400000,998900,113700.0,1700.0
TwiNboTzVids,http://youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA,Lucas and Marcus,AnimationHumor,United States,25100000,936000,28200.0,1300.0
smosh,http://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg,Smosh,MoviesHumor,United States,25000000,249500,17300.0,558.0
jypentertainment,http://youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,Music & Dance,United States,25000000,1800000,218500.0,8200.0
beyonce,http://youtube.com/channel/UCuHzBCaKmtaLcRAOoazhCPA,Beyoncé,Music & Dance,United States,24800000,15400000,561700.0,57300.0
Jess No Limit,http://youtube.com/channel/UCvh1at6xpV1ytYOAzxmqUsA,Jess No Limit,MoviesAnimation,Indonesia,24800000,329100,15100.0,1200.0
WatchMojo,http://youtube.com/channel/UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,Movies,United States,24600000,65200,2100.0,268.0
davidguettavevo,http://youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg,David Guetta,Music & Dance,Brazil,24400000,144500,7000.0,286.0
NewOnNetflix,http://youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,MoviesAnimation,United States,24000000,370700,12100.0,421.0
postmalone,http://youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ,Post Malone,Music & Dance,United States,24000000,354800,15400.0,670.0
James Charles,http://youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q,James Charles,BeautyFashion,United States,24000000,787000,50300.0,1800.0
Chloe Ting,http://youtube.com/channel/UCCgLoMYIyP0U56dEhEL1wXQ,Chloe Ting,FitnessHealth & Self Help,United States,24000000,204200,6300.0,580.0
NinjasHyper,http://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ,Ninja,AnimationVideo games,United States,24000000,184200,9800.0,645.0
Rans Entertainment,http://youtube.com/channel/UCvA9_f5Lwk-poMynabtrZPg,Rans Entertainment,Music & DanceHumor,Indonesia,24000000,861600,28800.0,743.0
Raffy Tulfo in Action,http://youtube.com/channel/UCxhygwqQ1ZMoBGQM2yEcNug,Raffy Tulfo in Action,News & Politics,Philippines,23600000,600300,10900.0,1100.0
Logan Paul,http://youtube.com/channel/UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul,Video gamesHumor,United States,23600000,0,,
Sandeep Maheshwari,http://youtube.com/channel/UCBqFKDipsnzvJdt6UT0lMIg,Sandeep Maheshwari,Daily vlogs,India,23400000,1800000,109800.0,5300.0
ChrisBrownTV,http://youtube.com/channel/UCcYrdFJF7hmPXRNaWdrko4w,Chris Brown,Music & Dance,United States,23400000,794600,28500.0,1100.0
ColdplayVEVO,http://youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,Music & Dance,United States,23400000,43400,3800.0,90.0
DjSnakeTV,http://youtube.com/channel/UC_x8HoD18XJkILQBreVENUQ,DJ Snake,Music & Dance,India,23200000,639200,34700.0,1800.0
NickyJamTV,http://youtube.com/channel/UCpb_iJuhFe8V6rQdbNqfAlQ,NickyJamTV,Music & DanceMovies,Colombia,23200000,138500,6900.0,268.0
TRANS7indonesia,http://youtube.com/channel/UC24_Z2L-8Ki183AI9zJJzNQ,TRANS7 OFFICIAL,Food & Drinks,Indonesia,23200000,4700,80.0,8.0
ABPLIVE,http://youtube.com/channel/UCmphdqZNmqL72WJ2uyiNw5w,ABPLIVE,News & Politics,India,23200000,2200,23.0,2.0
Mister Max,http://youtube.com/channel/UC_8PAD0Qmi6_gpe77S1Atgg,Mister Max,DIY & Life Hacks,Russia,23000000,1700000,45400.0,719.0
EnriqueIglesiasPlay,http://youtube.com/channel/UC-6czyMkxDi8E8akPl0c7_w,Enrique Iglesias,Music & Dance,United States,22800000,32500,3200.0,154.0
JellyYT,http://youtube.com/channel/UC0DZmkupLYwc0yDsfocLh0A,Jelly,Video games,United States,22800000,194100,9600.0,357.0
netdmuzikk,http://youtube.com/channel/UCR5wZcXtOUka8jTA57flzMg,netd müzik,Music & Dance,Turkey,22600000,13800,311.0,54.0
THECHAINSMOKERS,http://youtube.com/channel/UCq3Ci-h945sbEYXpVlw7rJg,The Chainsmokers,Humor,United States,22300000,634700,18900.0,544.0
